SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
0MOFSL26,N1,11.0,11.0,100.0
1003ISFL28,N4,95.0,95.0,100.0
1003SCL30A,NV,54.0,53.0,98.15
1015ECL29,NR,927.0,927.0,100.0
1015SCFL29,YY,3000.0,3000.0,100.0
1018GS2026,GS,58.0,51.0,87.93
1025SCL34A,ZT,12.0,12.0,100.0
1025SCL34B,N1,836.0,836.0,100.0
1025SCL34Z,N1,10.0,10.0,100.0
1025VCCL28,N0,3.0,3.0,100.0
1030SFIL26,NJ,1.0,1.0,100.0
1030SFIL28,NM,446.0,446.0,100.0
1040NFL26,NA,150.0,150.0,100.0
1050ISFL28,N5,1.0,1.0,100.0
1050NFL26,N7,250.0,250.0,100.0
1050UCL28,NH,219.0,219.0,100.0
1065NFL27,NC,1.0,1.0,100.0
1075SCL34,ZR,47.0,47.0,100.0
1090NFL26,NB,200.0,200.0,100.0
10IIFL28,N4,1315.0,1315.0,100.0
10IIFL28A,NE,1512.0,1512.0,100.0
10IIFL29,N6,986.0,986.0,100.0
10NIDO26,N6,320.0,320.0,100.0
1102NFL26,N8,46.0,46.0,100.0
118VCCL27B,N0,25.0,25.0,100.0
11UCL26,NC,75.0,75.0,100.0
12AFIL27,N0,1.0,1.0,100.0
12AFIL27A,N0,13.0,13.0,100.0
182D080126,TB,2000.0,2000.0,100.0
182D111225,TB,200.0,200.0,100.0
182D160426,TB,200.0,100.0,50.0
182D240426,TB,200.0,200.0,100.0
20MICRONS,EQ,49292.0,30744.0,62.37
21STCENMGM,EQ,7969.0,5300.0,66.51
360ONE,EQ,310232.0,159650.0,51.46
364D061125,TB,10500.0,10500.0,100.0
364D080126,TB,1000.0,1000.0,100.0
364D100426,TB,50000.0,50000.0,100.0
364D261225,TB,800.0,800.0,100.0
3IINFOLTD,EQ,4210276.0,2434736.0,57.83
3MINDIA,EQ,1760.0,968.0,55.0
3PLAND,EQ,3293.0,2263.0,68.72
563GS2026,GS,4.0,4.0,100.0
574GS2026,GS,119.0,119.0,100.0
591GS2028,GS,179.0,169.0,94.41
5PAISA,EQ,66974.0,30857.0,46.07
619GS2034,GS,1685.0,1685.0,100.0
63MOONS,EQ,127787.0,80602.0,63.08
654GS2032,GS,16000.0,16000.0,100.0
664GS2027,GS,199.0,199.0,100.0
667GS2050,GS,4.0,3.0,75.0
676GS2061,GS,5000.0,5000.0,100.0
679GS2031,GS,201.0,200.0,99.5
679GS2034,GS,19115.0,19115.0,100.0
68GS2060,GS,2.0,2.0,100.0
690GS2065,GS,307959.0,303227.0,98.46
692GS2039,GS,1.0,1.0,100.0
695GS2061,GS,5000.0,5000.0,100.0
697GR2034,GS,399.0,399.0,100.0
698GR2054,GS,1600.0,1600.0,100.0
699GS2051,GS,11260.0,8290.0,73.62
706GS2028,GS,815.0,815.0,100.0
709GS2054,GS,98379.0,98379.0,100.0
709GS2074,GS,410262.0,407911.0,99.43
710GS2029,GS,7525.0,7525.0,100.0
718GS2033,GS,20000.0,20000.0,100.0
718GS2037,GS,339678.0,310600.0,91.44
725GS2063,GS,1089759.0,1043417.0,95.75
726GS2032,GS,1100.0,1100.0,100.0
729NHAI26,NC,15.0,15.0,100.0
732GS2030,GS,1000.0,1000.0,100.0
732IRFC25,NI,100.0,100.0,100.0
733GS2026,GS,703.0,604.0,85.92
734GS2064,GS,259354.0,258304.0,99.6
735NABAR31,N1,4.0,4.0,100.0
736GS2052,GS,310.0,310.0,100.0
737GS2028,GS,600.0,600.0,100.0
738GS2027,GS,33980.0,33720.0,99.23
739NHAI26,N8,116.0,116.0,100.0
73GS2053,GS,3601.0,3601.0,100.0
741GS2036,GS,310.0,310.0,100.0
746GS2073,GS,6785.0,5600.0,82.54
74GS2035,GS,150.0,150.0,100.0
74GS2062,GS,3007.0,3000.0,99.77
753IRFC30,NJ,1745.0,1745.0,100.0
754GS2036,GS,506882.0,501634.0,98.96
758GJ32,SG,400.0,300.0,75.0
75GS2034,GS,25000.0,25000.0,100.0
760PFCL35,N3,70.0,70.0,100.0
762NTPC35F,ND,627.0,627.0,100.0
764HUDCO31,N8,1.0,1.0,100.0
764IRFC31,NO,16.0,16.0,100.0
764NABAR31,N2,564.0,300.0,53.19
769NHAI31,NE,66.0,66.0,100.0
76NHAI31,NA,3825.0,3700.0,96.73
772GS2049,GS,15.0,15.0,100.0
774IREDA31,N7,100.0,100.0,100.0
774KA34,SG,100.0,100.0,100.0
78ABCL33,N1,71.0,71.0,100.0
795GS2032,GS,1200.0,1200.0,100.0
79NHIT35,N1,8785.0,8331.0,94.83
79NHIT40,N2,1815.0,1815.0,100.0
81TCHF28,N8,1.0,1.0,100.0
820IIFL27,N9,38.0,38.0,100.0
824GS2027,GS,4.0,4.0,100.0
828GS2027,GS,100.0,100.0,100.0
828GS2032,GS,1550.0,1550.0,100.0
82HUDCO27,N2,2164.0,1114.0,51.48
82IGT31,NJ,778.0,626.0,80.46
830NHAI27,N2,839.0,800.0,95.35
830PFCL27,N5,143.0,143.0,100.0
832GS2032,GS,5.0,5.0,100.0
835SCL23B,YM,2.0,2.0,100.0
842IIFL26,NL,125.0,125.0,100.0
84TCHF28,NA,4.0,4.0,100.0
865IFL28,NZ,160.0,160.0,100.0
865IIFL28,NS,175.0,175.0,100.0
865IRFC29,NA,328.0,328.0,100.0
865SCL27,N4,49.0,49.0,100.0
871REC28,N9,238.0,203.0,85.29
875IIFL26A,NQ,115.0,115.0,100.0
875NHAI29,N6,2.0,1.0,50.0
875SFL27,ZF,40.0,40.0,100.0
876HUDCO28,ND,1030.0,980.0,95.15
87LTF27,NH,40.0,31.0,77.5
880IREDA34,N6,50.0,50.0,100.0
885AEL28,NB,534.0,534.0,100.0
885MOFSL26,N0,8.0,8.0,100.0
885SCL26,N9,10.0,10.0,100.0
888IRFC29,NE,974.0,874.0,89.73
889SCL26,NS,1.0,1.0,100.0
890NHB34,N7,17.0,17.0,100.0
891IIFCL34,N4,110.0,100.0,90.91
891NTPC33,N6,22.0,22.0,100.0
892PFCL33,N8,2713.0,1574.0,58.02
893NHB29,N6,100.0,100.0,100.0
895AEL27,N9,50.0,50.0,100.0
898LTF29,N7,1.0,1.0,100.0
8SMC29,N1,81.0,81.0,100.0
8SMC30,N2,42.0,42.0,100.0
901HUDCO34,NE,20.0,20.0,100.0
901NHB34,N6,168.0,168.0,100.0
910TCAP28,NA,550.0,350.0,63.64
915AEL28,NC,600.0,600.0,100.0
915SCL26,NE,475.0,475.0,100.0
91D020126,TB,100.0,100.0,100.0
91D041225,TB,100.0,100.0,100.0
91D080126,TB,1400.0,1400.0,100.0
91D111225,TB,3000.0,2700.0,90.0
91D131125,TB,200.0,200.0,100.0
91D230126,TB,1400.0,1400.0,100.0
91D251225,TB,100.0,100.0,100.0
91D281125,TB,1000.0,1000.0,100.0
921ISFL25,N0,10.0,10.0,100.0
925SCL26B,YQ,10.0,10.0,100.0
925SCL27,YR,10.0,10.0,100.0
925SCL30A,NH,94.0,74.0,78.72
92GS2030,GS,21321.0,21321.0,100.0
930AEL30,NF,334.0,334.0,100.0
930APMD27,N0,26.0,25.0,96.15
930APMD29,N0,2.0,2.0,100.0
930APMD31,N0,108.0,108.0,100.0
930APMD32,N0,1.0,1.0,100.0
930APMD35,N0,8.0,8.0,100.0
930SFL28,YP,60.0,60.0,100.0
935IIFL28,NZ,201.0,201.0,100.0
935LTF29,N5,200.0,150.0,75.0
935TSI34,N0,5.0,5.0,100.0
943ECL28,NJ,62.0,62.0,100.0
948SCL27D,N1,136.0,136.0,100.0
94SFL28,YL,15.0,15.0,100.0
950ISF27C,N0,2.0,2.0,100.0
960CAGL25,N3,1.0,1.0,100.0
960ISFL25,N1,73.0,73.0,100.0
965AEL27,N4,556.0,154.0,27.7
965IFSL26,N6,225.0,155.0,68.89
965SCL25B,Y1,9.0,9.0,100.0
965SCL25C,N0,10.0,10.0,100.0
965SCL25F,NZ,112.0,0.0,0.0
965SCL28,AK,1.0,1.0,100.0
96IIFL28,N5,2163.0,1873.0,86.59
96IIFL28A,NF,586.0,586.0,100.0
96SFIL24A,NB,110.0,110.0,100.0
970CAGL28,ND,9.0,9.0,100.0
97MOFSL34,N7,2900.0,2700.0,93.1
97SFL28,YS,65.0,65.0,100.0
97SFL29,YZ,45.0,45.0,100.0
980SCL33,NX,1.0,1.0,100.0
990SCL27,YT,10.0,10.0,100.0
990SCL27B,N1,125.0,125.0,100.0
99AEL29,N7,14.0,14.0,100.0
9IIFL28,Y0,914.0,914.0,100.0
9SCL27,N2,78.0,60.0,76.92
A2ZINFRA,EQ,60534.0,32623.0,53.89
AADHARHFC,EQ,96562.0,48830.0,50.57
AAKAAR,SM,19200.0,14400.0,75.0
AAKASH,EQ,48924.0,39153.0,80.03
AARADHYA,ST,14400.0,12000.0,83.33
AARON,EQ,28845.0,10105.0,35.03
AARTECH,EQ,27591.0,16125.0,58.44
AARTIDRUGS,EQ,201266.0,67065.0,33.32
AARTIIND,EQ,329093.0,127941.0,38.88
AARTIPHARM,EQ,53587.0,25765.0,48.08
AARTISURF,EQ,6631.0,3843.0,57.96
AARVI,EQ,7006.0,4973.0,70.98
AAVAS,EQ,92983.0,58791.0,63.23
ABB,EQ,121312.0,58107.0,47.9
ABBOTINDIA,EQ,5536.0,3573.0,64.54
ABCAPITAL,EQ,27939518.0,11209811.0,40.12
ABCOTS,EQ,95733.0,56412.0,58.93
ABDL,EQ,465489.0,196694.0,42.26
ABFRL,EQ,2243750.0,1156062.0,51.52
ABGSEC,EQ,18.0,16.0,88.89
ABHAPOWER,ST,6400.0,6400.0,100.0
ABINFRA,EQ,169474.0,99738.0,58.85
ABLBL,EQ,2118862.0,1765239.0,83.31
ABREL,EQ,632290.0,211594.0,33.46
ABSLAMC,EQ,225394.0,130562.0,57.93
ABSLBANETF,EQ,17125.0,12081.0,70.55
ABSLLIQUID,EQ,15264.0,14849.0,97.28
ABSLNN50ET,EQ,19277.0,10634.0,55.16
