SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
886REC34,NG,1000.0,1000.0,100.0
888IHFL25F,NC,13.0,13.0,100.0
888IRFC29,NE,1870.0,1422.0,76.04
891IIFCL34,N4,1098.0,1000.0,91.07
891NTPC33,N6,206.0,147.0,71.36
892PFCL33,N8,452.0,285.0,63.05
893NHB29,N6,33.0,19.0,57.58
895AEL27,N9,50.0,50.0,100.0
898LTF29,N7,2.0,2.0,100.0
8SMC29,N1,175.0,175.0,100.0
8SMC30,N2,68.0,68.0,100.0
901HUDCO34,NE,2947.0,2216.0,75.2
901NHB34,N6,55.0,55.0,100.0
903SFL28,YI,50.0,50.0,100.0
910TCAP28,NA,1152.0,1050.0,91.15
915AEL28,NC,15.0,15.0,100.0
915SCL26,NE,861.0,861.0,100.0
91D080126,TB,500.0,500.0,100.0
91D111225,TB,300.0,200.0,66.67
91D230126,TB,4500.0,3500.0,77.78
91D281125,TB,1100.0,1100.0,100.0
91D290126,TB,200.0,200.0,100.0
91MOFSL27,N2,247.0,247.0,100.0
920IIFLS26,N8,2.0,2.0,100.0
925IHFL25E,N8,24.0,24.0,100.0
925SCL26F,N1,159.0,159.0,100.0
925SCL30A,NH,20.0,20.0,100.0
92GS2030,GS,31256.0,31146.0,99.65
930AEL30,NF,2018.0,1755.0,86.97
930APMD28,N0,1.0,1.0,100.0
930APMD32,N0,3.0,3.0,100.0
930APMD33,N0,10.0,10.0,100.0
931SFL26,Z5,90.0,90.0,100.0
935LTF29,N5,23.0,23.0,100.0
935TSI30,N0,5.0,5.0,100.0
93SCL24A,ZN,10.0,10.0,100.0
943ECL28,NJ,57.0,57.0,100.0
945SCL32,NL,10.0,10.0,100.0
948SCL26B,Y8,300.0,150.0,50.0
948SCL26D,AI,2.0,2.0,100.0
948SCL27A,ZJ,17.0,17.0,100.0
94SFL28,YL,193.0,153.0,79.27
957ISFL26,N2,30.0,30.0,100.0
965AEL27,N4,446.0,446.0,100.0
965IFSL26,N6,148.0,148.0,100.0
965SCL25C,N0,3.0,3.0,100.0
965SCL25F,NZ,25.0,25.0,100.0
96IIFL28,N5,82.0,82.0,100.0
96IIFL28A,NF,620.0,620.0,100.0
96SFIL24A,NB,60.0,60.0,100.0
970CAGL28,ND,101.0,101.0,100.0
975ISF28,N0,3.0,3.0,100.0
97SFL28,YS,150.0,150.0,100.0
97SFL29,YZ,2062.0,1612.0,78.18
98SCL27,ZX,6.0,6.0,100.0
990SCL26,N7,1.0,1.0,100.0
990SCL27B,N1,1.0,1.0,100.0
995SCL2035,NM,29.0,29.0,100.0
99AEL29,N7,2.0,0.0,0.0
9AEL30,NE,44.0,22.0,50.0
9IIFL28A,NT,5.0,5.0,100.0
9MMFSML,N2,2225.0,1450.0,65.17
A2ZINFRA,EQ,125178.0,69108.0,55.21
AADHARHFC,EQ,176821.0,112070.0,63.38
AAKAAR,SM,19200.0,17600.0,91.67
AAKASH,EQ,79154.0,50321.0,63.57
AARADHYA,ST,2400.0,2400.0,100.0
AARON,EQ,12604.0,6216.0,49.32
AARTECH,EQ,31746.0,16427.0,51.75
AARTIDRUGS,EQ,56190.0,34326.0,61.09
AARTIIND,EQ,318152.0,142536.0,44.8
AARTIPHARM,EQ,105341.0,55577.0,52.76
AARTISURF,EQ,6819.0,3981.0,58.38
AARVI,EQ,6304.0,5542.0,87.91
AATMAJ,SM,10000.0,10000.0,100.0
AAVAS,EQ,90863.0,47422.0,52.19
